ID,Tanggal,Jenis_PLT,Produksi,Kapasitas,Cuaca
63,2023-09-01,PLTS Atap,0.269,3.52,4.928
64,2023-10-01,PLT Hybrid,0.211,1.704,4.322
65,2023-10-01,PLTA,25.978,680.825,189.857
66,2023-10-01,PLTB,46.978,136.296,3.03
67,2023-10-01,PLTM,24.759,65.372,191.944
68,2023-10-01,PLTMH,14.986,39.66,194.541
69,2023-10-01,PLTS,0.701,5.706,4.809
70,2023-10-01,PLTS Atap,0.339,3.322,4.827
71,2023-11-01,PLT Hybrid,0.223,1.704,4.57
72,2023-11-01,PLTA,27.823,683.582,198.687
73,2023-11-01,PLTB,50.718,136.18,3.163
74,2023-11-01,PLTM,27.904,65.399,199.227
75,2023-11-01,PLTMH,15.606,39.66,201.169
76,2023-11-01,PLTS,0.762,5.669,5.139
77,2023-11-01,PLTS Atap,0.551,3.802,5.205
78,2023-12-01,PLT Hybrid,0.229,1.704,4.679
79,2023-12-01,PLTA,29.058,682.425,214.494
80,2023-12-01,PLTB,56.032,136.082,3.43
81,2023-12-01,PLTM,30.098,65.369,220.725
82,2023-12-01,PLTMH,16.487,39.66,217.77
83,2023-12-01,PLTS,0.875,5.678,5.57
84,2023-12-01,PLTS Atap,0.539,3.687,5.57
85,2024-01-01,PLT Hybrid,0.24,1.704,4.891
86,2024-01-01,PLTA,32.88,679.297,237.64
87,2024-01-01,PLTB,56.901,136.703,3.609
88,2024-01-01,PLTM,31.198,65.48,245.79
89,2024-01-01,PLTMH,18.621,39.66,238.962
90,2024-01-01,PLTS,0.914,5.653,5.928
91,2024-01-01,PLTS Atap,0.776,3.679,5.999
92,2024-02-01,PLT Hybrid,0.26,1.704,5.094
93,2024-02-01,PLTA,36.907,682.33,250.583
94,2024-02-01,PLTB,61.564,136.636,3.693
95,2024-02-01,PLTM,32.283,65.491,247.681
96,2024-02-01,PLTMH,19.467,39.66,251.455
97,2024-02-01,PLTS,0.989,5.633,6.047
98,2024-02-01,PLTS Atap,1.009,3.621,6.366
99,2024-03-01,PLT Hybrid,0.254,1.704,5.153
100,2024-03-01,PLTA,35.492,681.162,254.007
101,2024-03-01,PLTB,62.79,136.59,3.847
102,2024-03-01,PLTM,33.297,65.467,256.391
103,2024-03-01,PLTMH,20.079,39.66,255.455
104,2024-03-01,PLTS,1.058,5.66,6.517
105,2024-03-01,PLTS Atap,1.074,3.882,6.423
106,2024-04-01,PLT Hybrid,0.259,1.704,5.146
107,2024-04-01,PLTA,37.314,680.982,246.677
108,2024-04-01,PLTB,61.41,136.576,3.782
109,2024-04-01,PLTM,32.221,65.274,249.49
110,2024-04-01,PLTMH,19.579,39.66,246.451
111,2024-04-01,PLTS,1.03,5.73,6.289
112,2024-04-01,PLTS Atap,0.943,3.513,6.283
113,2024-05-01,PLT Hybrid,0.254,1.704,4.972
114,2024-05-01,PLTA,34.981,679.518,238.214
115,2024-05-01,PLTB,58.849,136.623,3.701
116,2024-05-01,PLTM,32.936,65.37,235.674
117,2024-05-01,PLTMH,20.247,39.66,242.932
118,2024-05-01,PLTS,0.881,5.645,5.965
119,2024-05-01,PLTS Atap,0.905,3.459,6.054
120,2024-06-01,PLT Hybrid,0.237,1.704,4.728
121,2024-06-01,PLTA,31.769,680.739,217.36
122,2024-06-01,PLTB,56.442,136.247,3.393
123,2024-06-01,PLTM,28.198,65.409,212.908
124,2024-06-01,PLTMH,16.904,39.66,215.731
125,2024-06-01,PLTS,0.816,5.649,5.609
126,2024-06-01,PLTS Atap,0.7,3.64,5.546
127,2024-07-01,PLT Hybrid,0.202,1.704,4.484
128,2024-07-01,PLTA,28.01,682.547,205.642
129,2024-07-01,PLTB,52.538,136.287,3.183
130,2024-07-01,PLTM,28.455,65.361,207.39
131,2024-07-01,PLTMH,15.896,39.66,210.579
132,2024-07-01,PLTS,0.819,5.642,5.144
133,2024-07-01,PLTS Atap,0.552,3.506,5.3
134,2024-08-01,PLT Hybrid,0.216,1.704,4.394
135,2024-08-01,PLTA,27.016,681.872,186.939
136,2024-08-01,PLTB,49.944,136.714,2.965
137,2024-08-01,PLTM,25.044,65.383,188.3
138,2024-08-01,PLTMH,14.058,39.66,185.703
139,2024-08-01,PLTS,0.784,5.665,5.002
140,2024-08-01,PLTS Atap,0.39,3.515,4.83
141,2024-09-01,PLT Hybrid,0.192,1.704,4.196
142,2024-09-01,PLTA,23.557,681.291,181.459
143,2024-09-01,PLTB,42.511,136.304,2.863
144,2024-09-01,PLTM,24.09,65.401,184.348
145,2024-09-01,PLTMH,14.117,39.66,180.266
146,2024-09-01,PLTS,0.75,5.647,4.824
147,2024-09-01,PLTS Atap,0.448,3.45,4.887
148,2024-10-01,PLT Hybrid,0.205,1.704,4.357
149,2024-10-01,PLTA,26.833,682.413,183.16
150,2024-10-01,PLTB,45.518,136.48,2.895
151,2024-10-01,PLTM,25.007,65.435,186.615
152,2024-10-01,PLTMH,14.885,39.66,196.249
153,2024-10-01,PLTS,0.726,5.643,4.971
154,2024-10-01,PLTS Atap,0.586,3.631,5.046
155,2024-11-01,PLT Hybrid,0.215,1.704,4.519
156,2024-11-01,PLTA,28.663,682.628,200.943
157,2024-11-01,PLTB,49.683,136.715,3.132
158,2024-11-01,PLTM,29.519,65.371,208.006
159,2024-11-01,PLTMH,14.552,39.66,197.423
160,2024-11-01,PLTS,0.791,5.636,5.122
161,2024-11-01,PLTS Atap,0.376,3.406,5.132
162,2024-12-01,PLT Hybrid,0.231,1.704,4.746
163,2024-12-01,PLTA,32.703,681.906,216.252
164,2024-12-01,PLTB,61.096,136.431,3.438
165,2024-12-01,PLTM,28.344,65.423,210.684
166,2024-12-01,PLTMH,17.427,39.66,226.802
167,2024-12-01,PLTS,0.908,5.636,5.768
168,2024-12-01,PLTS Atap,0.754,3.664,5.729
169,2025-01-01,PLT Hybrid,0.239,1.704,4.971
170,2025-01-01,PLTA,31.136,683.259,236.597
171,2025-01-01,PLTB,57.645,136.277,3.63
172,2025-01-01,PLTM,31.406,65.4,237.947
173,2025-01-01,PLTMH,17.846,39.66,229.452
174,2025-01-01,PLTS,0.902,5.655,5.917
175,2025-01-01,PLTS Atap,1.044,3.423,6.003
176,2025-02-01,PLT Hybrid,0.26,1.704,5.152
177,2025-02-01,PLTA,36.791,681.598,253.245
178,2025-02-01,PLTB,64.457,136.442,3.796
179,2025-02-01,PLTM,33.844,65.402,247.644
180,2025-02-01,PLTMH,19.642,39.66,255.017
181,2025-02-01,PLTS,0.948,5.666,6.18
182,2025-02-01,PLTS Atap,1.045,3.59,6.272
183,2025-03-01,PLT Hybrid,0.259,1.704,5.173
184,2025-03-01,PLTA,37.169,679.266,254.891
185,2025-03-01,PLTB,62.726,136.481,3.86
186,2025-03-01,PLTM,35.082,65.397,256.021
187,2025-03-01,PLTMH,19.688,39.66,254.522
188,2025-03-01,PLTS,1.008,5.664,6.389
189,2025-03-01,PLTS Atap,1.002,3.605,6.409
190,2025-04-01,PLT Hybrid,0.249,1.704,5.073
191,2025-04-01,PLTA,36.188,683.161,251.265
192,2025-04-01,PLTB,62.419,136.384,3.682
193,2025-04-01,PLTM,34.106,65.469,251.053
194,2025-04-01,PLTMH,19.692,39.66,252.397
195,2025-04-01,PLTS,0.996,5.653,6.176
196,2025-04-01,PLTS Atap,1.101,3.83,6.304
197,2025-05-01,PLT Hybrid,0.255,1.704,4.976
198,2025-05-01,PLTA,34.859,680.936,233.306
199,2025-05-01,PLTB,59.57,136.176,3.606
200,2025-05-01,PLTM,31.697,65.403,233.218
201,2025-05-01,PLTMH,18.956,39.66,237.262
202,2025-05-01,PLTS,0.945,5.644,6.024
203,2025-05-01,PLTS Atap,0.864,3.506,6.125
204,2025-06-01,PLT Hybrid,0.239,1.704,4.762
205,2025-06-01,PLTA,32.169,680.905,220.4
206,2025-06-01,PLTB,54.905,136.27,3.377
207,2025-06-01,PLTM,29.417,65.429,221.6
208,2025-06-01,PLTMH,17.411,39.66,214.209
209,2025-06-01,PLTS,0.886,5.63,5.66
210,2025-06-01,PLTS Atap,0.766,3.583,5.579
211,2025-07-01,PLT Hybrid,0.209,1.704,4.608
212,2025-07-01,PLTA,27.497,682.589,201.664
213,2025-07-01,PLTB,50.095,136.203,3.12
214,2025-07-01,PLTM,27.737,65.402,206.693
215,2025-07-01,PLTMH,16.632,39.66,202.666
216,2025-07-01,PLTS,0.743,5.677,5.142
217,2025-07-01,PLTS Atap,0.449,3.782,5.047
218,2025-08-01,PLT Hybrid,0.198,1.704,4.296
219,2025-08-01,PLTA,24.046,681.059,186.86
220,2025-08-01,PLTB,48.488,136.782,2.974
221,2025-08-01,PLTM,25.557,65.42,187.395
222,2025-08-01,PLTMH,14.647,39.66,188.749
223,2025-08-01,PLTS,0.69,5.631,4.753
224,2025-08-01,PLTS Atap,0.275,3.438,4.881
225,2025-09-01,PLT Hybrid,0.202,1.704,4.331
226,2025-09-01,PLTA,25.468,681.793,184.761
227,2025-09-01,PLTB,43.91,136.256,2.799
228,2025-09-01,PLTM,25.711,65.469,187.016
229,2025-09-01,PLTMH,14.751,39.66,192.279
230,2025-09-01,PLTS,0.726,5.646,4.841
231,2025-09-01,PLTS Atap,0.305,3.585,4.893
232,2025-10-01,PLT Hybrid,0.191,1.704,4.323
233,2025-10-01,PLTA,25.378,679.909,187.257
234,2025-10-01,PLTB,53.836,136.634,2.971
235,2025-10-01,PLTM,24.274,65.463,188.346
236,2025-10-01,PLTMH,15.693,39.66,192.395
237,2025-10-01,PLTS,0.654,5.664,4.766
238,2025-10-01,PLTS Atap,0.464,3.53,4.8
239,2025-11-01,PLT Hybrid,0.205,1.704,4.473
240,2025-11-01,PLTA,27.832,680.598,199.79
241,2025-11-01,PLTB,51.839,136.795,3.149
242,2025-11-01,PLTM,26.708,65.424,202.631
243,2025-11-01,PLTMH,15.899,39.66,197.139
244,2025-11-01,PLTS,0.74,5.666,5.143
245,2025-11-01,PLTS Atap,0.501,3.371,5.18
246,2025-12-01,PLT Hybrid,0.252,1.704,4.793
247,2025-12-01,PLTA,31.813,683.62,220.721
248,2025-12-01,PLTB,56.382,136.418,3.392
249,2025-12-01,PLTM,31.395,65.391,221.535
250,2025-12-01,PLTMH,15.28,39.66,211.508
251,2025-12-01,PLTS,0.831,5.686,5.555
252,2025-12-01,PLTS Atap,0.683,3.21,5.565
